,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,Linear R,Ransac R,Decision R,Random R
0,125,256,6000,256,16,128,198,331.498291297738,262.59513800424236,198.0,186.1980000000002
1,29,8000,32000,32,8,32,269,313.844926599291,169.93439335777714,220.33333333333331,217.08151190476192
2,29,8000,32000,32,8,32,220,313.844926599291,169.93439335777714,220.33333333333331,217.08151190476192
3,29,8000,32000,32,8,32,172,313.844926599291,169.93439335777714,220.33333333333331,217.08151190476192
4,29,8000,16000,32,8,16,132,204.8283132804888,138.7866544292377,173.0,171.06299999999993
5,26,8000,32000,64,8,32,318,333.17116741833627,190.4130177603876,318.0,319.1280952380955
6,23,16000,32000,64,16,32,367,450.49245188515613,277.23575360529446,428.0,431.533238095238
7,23,16000,32000,64,16,32,489,450.49245188515613,277.23575360529446,428.0,431.533238095238
8,23,16000,64000,64,16,32,636,621.5492914553747,333.42043232291843,636.0,742.2599999999996
9,23,32000,64000,128,32,64,1144,941.8207290944906,554.133951957408,1144.0,1035.3099999999995
10,400,1000,3000,0,1,2,38,-7.198061864406351,16.83963580978747,38.0,30.742499999999986
11,400,512,3500,4,1,6,40,-3.5803168851835134,17.62561135618859,40.0,37.36499999999999
12,60,2000,8000,65,1,8,92,82.64088541149391,75.36062825627614,92.0,88.00333333333326
13,50,4000,16000,65,1,8,138,155.49872901251453,103.4051094165015,138.0,126.6199999999998
14,350,64,64,0,1,4,10,-34.04032327882439,5.515406710637937,10.0,10.649999999999997
15,200,512,16000,0,4,32,35,97.84632657416176,53.539006451352314,35.0,41.63666666666671
16,167,524,2000,8,4,15,19,3.0648756396546286,30.915493439093908,19.0,24.59000000000003
17,143,512,5000,0,7,32,28,37.900569084257576,45.78658186278011,28.0,33.921999999999976
18,143,1000,2000,0,5,16,31,6.481956057483491,33.17208418418796,30.999999999999996,28.980000000000015
19,110,5000,5000,142,8,64,120,237.7856075320738,178.03717399198118,120.0,160.00833333333352
